Năm,Tháng,Nhóm hàng,Chỉ số tiêu dùng
2002,9,Hàng hoá và dịch vụ khác,100.10
2002,9,Hàng ăn và dịch vụ ăn uống,100.30
2002,9,Lương thực,100.60
2002,9,"May mặc, mũ nón, giày dép",100.40
2002,9,Nhà ở và vật liệu xây dựng,100.40
2002,9,"Phương tiện đi lại, bưu điện",100.00
2002,9,Thiết bị và đồ dùng gia đình,100.10
2002,9,Thuốc và dịch vụ y tế,99.90
2002,9,Thực phẩm,100.10
2002,9,Trong đó: Dịch vụ giáo dục,
2002,9,Trong đó: Dịch vụ y tế,
2002,9,"Văn hóa, giải trí và du lịch",100.00
2002,9,Ăn uống ngoài gia đình,
2002,9,Đồ uống và thuốc lá,100.30
2002,10,Bưu chính viễn thông,
2002,10,Chỉ số giá tiêu dùng,100.30
2002,10,Chỉ số giá vàng,101.80
2002,10,Chỉ số đô la Mỹ,100.20
2002,10,Giao thông,
2002,10,Giáo dục,100.60
2002,10,Hàng hoá và dịch vụ khác,100.60
2002,10,Hàng ăn và dịch vụ ăn uống,99.80
2002,10,Lương thực,100.20
2002,10,"May mặc, mũ nón, giày dép",100.00
2002,10,Nhà ở và vật liệu xây dựng,103.10
2002,10,"Phương tiện đi lại, bưu điện",101.00
2002,10,Thiết bị và đồ dùng gia đình,99.90
2002,10,Thuốc và dịch vụ y tế,100.00
2002,10,Thực phẩm,99.60
2002,10,Trong đó: Dịch vụ giáo dục,
2002,10,Trong đó: Dịch vụ y tế,
2002,10,"Văn hóa, giải trí và du lịch",99.80
2002,10,Ăn uống ngoài gia đình,
2002,10,Đồ uống và thuốc lá,100.60
2002,11,Bưu chính viễn thông,
2002,11,Chỉ số giá tiêu dùng,100.30
2002,11,Chỉ số giá vàng,99.80
2002,11,Chỉ số đô la Mỹ,100.10
2002,11,Giao thông,
2002,11,Giáo dục,100.50
2002,11,Hàng hoá và dịch vụ khác,100.10
2002,11,Hàng ăn và dịch vụ ăn uống,100.00
2002,11,Lương thực,101.10
2002,11,"May mặc, mũ nón, giày dép",100.10
2002,11,Nhà ở và vật liệu xây dựng,101.90
2002,11,"Phương tiện đi lại, bưu điện",100.60
2002,11,Thiết bị và đồ dùng gia đình,100.00
2002,11,Thuốc và dịch vụ y tế,100.10
2002,11,Thực phẩm,99.50
2002,11,Trong đó: Dịch vụ giáo dục,
2002,11,Trong đó: Dịch vụ y tế,
2002,11,"Văn hóa, giải trí và du lịch",100.20
2002,11,Ăn uống ngoài gia đình,
2002,11,Đồ uống và thuốc lá,100.30
2002,12,Bưu chính viễn thông,
2002,12,Chỉ số giá tiêu dùng,100.30
2002,12,Chỉ số giá vàng,101.20
2002,12,Chỉ số đô la Mỹ,100.10
2002,12,Giao thông,
2002,12,Giáo dục,100.30
2002,12,Hàng hoá và dịch vụ khác,100.30
2002,12,Hàng ăn và dịch vụ ăn uống,100.30
2002,12,Lương thực,101.60
2002,12,"May mặc, mũ nón, giày dép",100.10
2002,12,Nhà ở và vật liệu xây dựng,100.50
2002,12,"Phương tiện đi lại, bưu điện",100.00
2002,12,Thiết bị và đồ dùng gia đình,100.20
2002,12,Thuốc và dịch vụ y tế,100.20
2002,12,Thực phẩm,99.80
2002,12,Trong đó: Dịch vụ giáo dục,
2002,12,Trong đó: Dịch vụ y tế,
2002,12,"Văn hóa, giải trí và du lịch",99.90
2002,12,Ăn uống ngoài gia đình,
2002,12,Đồ uống và thuốc lá,100.70
2003,1,Bưu chính viễn thông,
2003,1,Chỉ số giá tiêu dùng,100.90
2003,1,Chỉ số giá vàng,105.50
2003,1,Chỉ số đô la Mỹ,100.20
2003,1,Giao thông,
2003,1,Giáo dục,100.30
2003,1,Hàng hoá và dịch vụ khác,100.60
2003,1,Hàng ăn và dịch vụ ăn uống,101.30
2003,1,Lương thực,101.60
2003,1,"May mặc, mũ nón, giày dép",100.80
2003,1,Nhà ở và vật liệu xây dựng,100.60
2003,1,"Phương tiện đi lại, bưu điện",100.40
2003,1,Thiết bị và đồ dùng gia đình,100.30
2003,1,Thuốc và dịch vụ y tế,100.70
2003,1,Thực phẩm,101.30
2003,1,Trong đó: Dịch vụ giáo dục,
2003,1,Trong đó: Dịch vụ y tế,
2003,1,"Văn hóa, giải trí và du lịch",100.30
2003,1,Ăn uống ngoài gia đình,
2003,1,Đồ uống và thuốc lá,100.90
2003,2,Bưu chính viễn thông,
2003,2,Chỉ số giá tiêu dùng,102.20
2003,2,Chỉ số giá vàng,104.80
2003,2,Chỉ số đô la Mỹ,100.20
2003,2,Giao thông,
2003,2,Giáo dục,100.10
2003,2,Hàng hoá và dịch vụ khác,102.10
2003,2,Hàng ăn và dịch vụ ăn uống,103.40
2003,2,Lương thực,101.20
2003,2,"May mặc, mũ nón, giày dép",100.60
2003,2,Nhà ở và vật liệu xây dựng,100.50
2003,2,"Phương tiện đi lại, bưu điện",101.30
2003,2,Thiết bị và đồ dùng gia đình,100.20
2003,2,Thuốc và dịch vụ y tế,100.50
2003,2,Thực phẩm,104.40
2003,2,Trong đó: Dịch vụ giáo dục,
2003,2,Trong đó: Dịch vụ y tế,
2003,2,"Văn hóa, giải trí và du lịch",101.30
2003,2,Ăn uống ngoài gia đình,
2003,2,Đồ uống và thuốc lá,102.20
2003,3,Bưu chính viễn thông,
2003,3,Chỉ số giá tiêu dùng,99.40
2003,3,Chỉ số giá vàng,98.80
2003,3,Chỉ số đô la Mỹ,100.00
2003,3,Giao thông,
2003,3,Giáo dục,100.00
2003,3,Hàng hoá và dịch vụ khác,98.90
2003,3,Hàng ăn và dịch vụ ăn uống,98.10
2003,3,Lương thực,99.10
2003,3,"May mặc, mũ nón, giày dép",99.80
2003,3,Nhà ở và vật liệu xây dựng,101.90
2003,3,"Phương tiện đi lại, bưu điện",100.70
2003,3,Thiết bị và đồ dùng gia đình,100.20
2003,3,Thuốc và dịch vụ y tế,108.10
2003,3,Thực phẩm,97.60
2003,3,Trong đó: Dịch vụ giáo dục,
2003,3,Trong đó: Dịch vụ y tế,
2003,3,"Văn hóa, giải trí và du lịch",98.60
2003,3,Ăn uống ngoài gia đình,
2003,3,Đồ uống và thuốc lá,99.40
2003,4,Bưu chính viễn thông,
2003,4,Chỉ số giá tiêu dùng,100.00
2003,4,Chỉ số giá vàng,96.90
2003,4,Chỉ số đô la Mỹ,100.10
2003,4,Giao thông,
2003,4,Giáo dục,100.10
2003,4,Hàng hoá và dịch vụ khác,100.10
2003,4,Hàng ăn và dịch vụ ăn uống,99.70
2003,4,Lương thực,99.40
2003,4,"May mặc, mũ nón, giày dép",100.40
2003,4,Nhà ở và vật liệu xây dựng,100.40
2003,4,"Phương tiện đi lại, bưu điện",99.80
2003,4,Thiết bị và đồ dùng gia đình,100.10
2003,4,Thuốc và dịch vụ y tế,102.60
2003,4,Thực phẩm,99.80
2003,4,Trong đó: Dịch vụ giáo dục,
2003,4,Trong đó: Dịch vụ y tế,
2003,4,"Văn hóa, giải trí và du lịch",99.90
2003,4,Ăn uống ngoài gia đình,
2003,4,Đồ uống và thuốc lá,99.80
2003,5,Bưu chính viễn thông,
2003,5,Chỉ số giá tiêu dùng,99.90
2003,5,Chỉ số giá vàng,100.20
2003,5,Chỉ số đô la Mỹ,100.00
2003,5,Giao thông,
2003,5,Giáo dục,100.00
2003,5,Hàng hoá và dịch vụ khác,100.30
2003,5,Hàng ăn và dịch vụ ăn uống,99.70
2003,5,Lương thực,99.10
2003,5,"May mặc, mũ nón, giày dép",100.50
2003,5,Nhà ở và vật liệu xây dựng,99.50
2003,5,"Phương tiện đi lại, bưu điện",99.80
2003,5,Thiết bị và đồ dùng gia đình,100.20
2003,5,Thuốc và dịch vụ y tế,101.30
2003,5,Thực phẩm,99.90
2003,5,Trong đó: Dịch vụ giáo dục,
2003,5,Trong đó: Dịch vụ y tế,
2003,5,"Văn hóa, giải trí và du lịch",99.70
2003,5,Ăn uống ngoài gia đình,
2003,5,Đồ uống và thuốc lá,99.80
2003,6,Bưu chính viễn thông,
2003,6,Chỉ số giá tiêu dùng,99.70
2003,6,Chỉ số giá vàng,103.80
2003,6,Chỉ số đô la Mỹ,100.10
2003,6,Giao thông,
2003,6,Giáo dục,100.50
2003,6,Hàng hoá và dịch vụ khác,100.10
2003,6,Hàng ăn và dịch vụ ăn uống,99.50
2003,6,Lương thực,98.40
2003,6,"May mặc, mũ nón, giày dép",100.00
2003,6,Nhà ở và vật liệu xây dựng,99.60
2003,6,"Phương tiện đi lại, bưu điện",99.90
2003,6,Thiết bị và đồ dùng gia đình,100.10
2003,6,Thuốc và dịch vụ y tế,99.80
2003,6,Thực phẩm,99.90
2003,6,Trong đó: Dịch vụ giáo dục,
2003,6,Trong đó: Dịch vụ y tế,
2003,6,"Văn hóa, giải trí và du lịch",99.80
2003,6,Ăn uống ngoài gia đình,
2003,6,Đồ uống và thuốc lá,100.00
2003,7,Bưu chính viễn thông,
2003,7,Chỉ số giá tiêu dùng,99.70
2003,7,Chỉ số giá vàng,99.80
2003,7,Chỉ số đô la Mỹ,100.20
2003,7,Giao thông,
2003,7,Giáo dục,100.00
2003,7,Hàng hoá và dịch vụ khác,100.00
2003,7,Hàng ăn và dịch vụ ăn uống,99.50
2003,7,Lương thực,98.80
2003,7,"May mặc, mũ nón, giày dép",100.00
2003,7,Nhà ở và vật liệu xây dựng,100.20
2003,7,"Phương tiện đi lại, bưu điện",99.90
2003,7,Thiết bị và đồ dùng gia đình,100.00
2003,7,Thuốc và dịch vụ y tế,100.40
2003,7,Thực phẩm,99.70
2003,7,Trong đó: Dịch vụ giáo dục,
2003,7,Trong đó: Dịch vụ y tế,
2003,7,"Văn hóa, giải trí và du lịch",99.60
2003,7,Ăn uống ngoài gia đình,
2003,7,Đồ uống và thuốc lá,100.00
2003,8,Bưu chính viễn thông,
2003,8,Chỉ số giá tiêu dùng,99.90
2003,8,Chỉ số giá vàng,100.10
2003,8,Chỉ số đô la Mỹ,100.10
2003,8,Giao thông,
2003,8,Giáo dục,100.30
2003,8,Hàng hoá và dịch vụ khác,100.10
2003,8,Hàng ăn và dịch vụ ăn uống,99.80
2003,8,Lương thực,100.10
2003,8,"May mặc, mũ nón, giày dép",100.00
2003,8,Nhà ở và vật liệu xây dựng,100.20
2003,8,"Phương tiện đi lại, bưu điện",99.90
2003,8,Thiết bị và đồ dùng gia đình,99.70
2003,8,Thuốc và dịch vụ y tế,100.30
2003,8,Thực phẩm,99.60
2003,8,Trong đó: Dịch vụ giáo dục,
2003,8,Trong đó: Dịch vụ y tế,
2003,8,"Văn hóa, giải trí và du lịch",99.90
2003,8,Ăn uống ngoài gia đình,
2003,8,Đồ uống và thuốc lá,100.10
2003,9,Bưu chính viễn thông,
2003,9,Chỉ số giá tiêu dùng,100.10
2003,9,Chỉ số giá vàng,102.90
2003,9,Chỉ số đô la Mỹ,100.10
2003,9,Giao thông,
2003,9,Giáo dục,102.00
2003,9,Hàng hoá và dịch vụ khác,100.10
2003,9,Hàng ăn và dịch vụ ăn uống,99.90
2003,9,Lương thực,100.00
2003,9,"May mặc, mũ nón, giày dép",100.20
2003,9,Nhà ở và vật liệu xây dựng,100.10
2003,9,"Phương tiện đi lại, bưu điện",100.00
2003,9,Thiết bị và đồ dùng gia đình,100.00
2003,9,Thuốc và dịch vụ y tế,102.70
2003,9,Thực phẩm,99.80
2003,9,Trong đó: Dịch vụ giáo dục,
2003,9,Trong đó: Dịch vụ y tế,
2003,9,"Văn hóa, giải trí và du lịch",99.80
2003,9,Ăn uống ngoài gia đình,
2003,9,Đồ uống và thuốc lá,100.10
2003,10,Bưu chính viễn thông,
2003,10,Chỉ số giá tiêu dùng,99.80
2003,10,Chỉ số giá vàng,103.40
2003,10,Chỉ số đô la Mỹ,100.20
2003,10,Giao thông,
2003,10,Giáo dục,101.10
2003,10,Hàng hoá và dịch vụ khác,100.00
2003,10,Hàng ăn và dịch vụ ăn uống,100.00
2003,10,Lương thực,100.50
2003,10,"May mặc, mũ nón, giày dép",100.10
2003,10,Nhà ở và vật liệu xây dựng,100.00
2003,10,"Phương tiện đi lại, bưu điện",96.70
2003,10,Thiết bị và đồ dùng gia đình,100.20
2003,10,Thuốc và dịch vụ y tế,102.00
2003,10,Thực phẩm,99.70
2003,10,Trong đó: Dịch vụ giáo dục,
2003,10,Trong đó: Dịch vụ y tế,
2003,10,"Văn hóa, giải trí và du lịch",100.00
2003,10,Ăn uống ngoài gia đình,
2003,10,Đồ uống và thuốc lá,100.30
2003,11,Bưu chính viễn thông,
2003,11,Chỉ số giá tiêu dùng,100.60
2003,11,Chỉ số giá vàng,103.00
2003,11,Chỉ số đô la Mỹ,100.50
2003,11,Giao thông,
2003,11,Giáo dục,100.40
2003,11,Hàng hoá và dịch vụ khác,100.30
2003,11,Hàng ăn và dịch vụ ăn uống,100.90
2003,11,Lương thực,102.80
2003,11,"May mặc, mũ nón, giày dép",100.50
2003,11,Nhà ở và vật liệu xây dựng,100.50
2003,11,"Phương tiện đi lại, bưu điện",99.50
2003,11,Thiết bị và đồ dùng gia đình,100.50
2003,11,Thuốc và dịch vụ y tế,100.90
2003,11,Thực phẩm,100.30
2003,11,Trong đó: Dịch vụ giáo dục,
2003,11,Trong đó: Dịch vụ y tế,
2003,11,"Văn hóa, giải trí và du lịch",99.60
2003,11,Ăn uống ngoài gia đình,
2003,11,Đồ uống và thuốc lá,100.30
2003,12,Bưu chính viễn thông,
2003,12,Chỉ số giá tiêu dùng,100.80
2003,12,Chỉ số giá vàng,105.10
2003,12,Chỉ số đô la Mỹ,100.50
2003,12,Giao thông,
2003,12,Giáo dục,100.10
2003,12,Hàng hoá và dịch vụ khác,101.70
2003,12,Hàng ăn và dịch vụ ăn uống,101.10
2003,12,Lương thực,102.00
2003,12,"May mặc, mũ nón, giày dép",100.50
2003,12,Nhà ở và vật liệu xây dựng,100.60
2003,12,"Phương tiện đi lại, bưu điện",100.20
2003,12,Thiết bị và đồ dùng gia đình,100.40
2003,12,Thuốc và dịch vụ y tế,100.10
2003,12,Thực phẩm,100.90
2003,12,Trong đó: Dịch vụ giáo dục,
2003,12,Trong đó: Dịch vụ y tế,
2003,12,"Văn hóa, giải trí và du lịch",100.20
2003,12,Ăn uống ngoài gia đình,
2003,12,Đồ uống và thuốc lá,100.60
2004,1,Bưu chính viễn thông,
2004,1,Chỉ số giá tiêu dùng,101.10
2004,1,Chỉ số giá vàng,103.10
2004,1,Chỉ số đô la Mỹ,99.70
2004,1,Giao thông,
2004,1,Giáo dục,100.20
2004,1,Hàng hoá và dịch vụ khác,100.90
2004,1,Hàng ăn và dịch vụ ăn uống,101.60
2004,1,Lương thực,102.10
2004,1,"May mặc, mũ nón, giày dép",101.20
2004,1,Nhà ở và vật liệu xây dựng,100.80
2004,1,"Phương tiện đi lại, bưu điện",100.00
2004,1,Thiết bị và đồ dùng gia đình,100.50
2004,1,Thuốc và dịch vụ y tế,100.70
2004,1,Thực phẩm,101.60
2004,1,Trong đó: Dịch vụ giáo dục,
2004,1,Trong đó: Dịch vụ y tế,
2004,1,"Văn hóa, giải trí và du lịch",100.40
2004,1,Ăn uống ngoài gia đình,
2004,1,Đồ uống và thuốc lá,102.90
2004,2,Bưu chính viễn thông,
2004,2,Chỉ số giá tiêu dùng,103.00
2004,2,Chỉ số giá vàng,99.10
2004,2,Chỉ số đô la Mỹ,100.40
2004,2,Giao thông,
2004,2,Giáo dục,100.00
2004,2,Hàng hoá và dịch vụ khác,101.80
2004,2,Hàng ăn và dịch vụ ăn uống,105.10
2004,2,Lương thực,101.50
2004,2,"May mặc, mũ nón, giày dép",99.70
2004,2,Nhà ở và vật liệu xây dựng,101.50
2004,2,"Phương tiện đi lại, bưu điện",100.70
2004,2,Thiết bị và đồ dùng gia đình,100.70
2004,2,Thuốc và dịch vụ y tế,100.50
2004,2,Thực phẩm,106.80
2004,2,Trong đó: Dịch vụ giáo dục,
2004,2,Trong đó: Dịch vụ y tế,
2004,2,"Văn hóa, giải trí và du lịch",101.60
2004,2,Ăn uống ngoài gia đình,
2004,2,Đồ uống và thuốc lá,100.50
2004,3,Bưu chính viễn thông,
2004,3,Chỉ số giá tiêu dùng,100.80
2004,3,Chỉ số giá vàng,100.20
2004,3,Chỉ số đô la Mỹ,100.50
2004,3,Giao thông,
2004,3,Giáo dục,96.60
2004,3,Hàng hoá và dịch vụ khác,99.00
2004,3,Hàng ăn và dịch vụ ăn uống,101.60
2004,3,Lương thực,102.80
2004,3,"May mặc, mũ nón, giày dép",100.50
2004,3,Nhà ở và vật liệu xây dựng,102.10
2004,3,"Phương tiện đi lại, bưu điện",99.90
2004,3,Thiết bị và đồ dùng gia đình,99.70
2004,3,Thuốc và dịch vụ y tế,103.10
2004,3,Thực phẩm,101.30
2004,3,Trong đó: Dịch vụ giáo dục,
2004,3,Trong đó: Dịch vụ y tế,
2004,3,"Văn hóa, giải trí và du lịch",100.80
2004,3,Ăn uống ngoài gia đình,
2004,3,Đồ uống và thuốc lá,98.30
2004,4,Bưu chính viễn thông,
2004,4,Chỉ số giá tiêu dùng,100.50
2004,4,Chỉ số giá vàng,102.30
2004,4,Chỉ số đô la Mỹ,99.90
2004,4,Giao thông,
2004,4,Giáo dục,100.10
2004,4,Hàng hoá và dịch vụ khác,100.00
2004,4,Hàng ăn và dịch vụ ăn uống,100.90
2004,4,Lương thực,101.80
2004,4,"May mặc, mũ nón, giày dép",100.70
2004,4,Nhà ở và vật liệu xây dựng,100.40
2004,4,"Phương tiện đi lại, bưu điện",100.10
2004,4,Thiết bị và đồ dùng gia đình,100.50
2004,4,Thuốc và dịch vụ y tế,101.20
2004,4,Thực phẩm,100.60
2004,4,Trong đó: Dịch vụ giáo dục,
2004,4,Trong đó: Dịch vụ y tế,
2004,4,"Văn hóa, giải trí và du lịch",100.50
2004,4,Ăn uống ngoài gia đình,
2004,4,Đồ uống và thuốc lá,100.30
2004,5,Bưu chính viễn thông,
2004,5,Chỉ số giá tiêu dùng,100.90
2004,5,Chỉ số giá vàng,95.90
2004,5,Chỉ số đô la Mỹ,99.70
2004,5,Giao thông,
2004,5,Giáo dục,100.10
2004,5,Hàng hoá và dịch vụ khác,100.40
2004,5,Hàng ăn và dịch vụ ăn uống,101.80
2004,5,Lương thực,102.30
2004,5,"May mặc, mũ nón, giày dép",99.90
2004,5,Nhà ở và vật liệu xây dựng,100.20
2004,5,"Phương tiện đi lại, bưu điện",100.20
2004,5,Thiết bị và đồ dùng gia đình,100.10
2004,5,Thuốc và dịch vụ y tế,101.00
2004,5,Thực phẩm,101.80
2004,5,Trong đó: Dịch vụ giáo dục,
2004,5,Trong đó: Dịch vụ y tế,
2004,5,"Văn hóa, giải trí và du lịch",100.00
2004,5,Ăn uống ngoài gia đình,
2004,5,Đồ uống và thuốc lá,100.40
2004,6,Bưu chính viễn thông,
2004,6,Chỉ số giá tiêu dùng,100.80
2004,6,Chỉ số giá vàng,98.60
2004,6,Chỉ số đô la Mỹ,100.00
2004,6,Giao thông,
2004,6,Giáo dục,99.90
2004,6,Hàng hoá và dịch vụ khác,100.00
2004,6,Hàng ăn và dịch vụ ăn uống,101.50
2004,6,Lương thực,100.50
2004,6,"May mặc, mũ nón, giày dép",100.10
2004,6,Nhà ở và vật liệu xây dựng,99.80
2004,6,"Phương tiện đi lại, bưu điện",100.00
2004,6,Thiết bị và đồ dùng gia đình,100.10
2004,6,Thuốc và dịch vụ y tế,99.90
2004,6,Thực phẩm,101.80
2004,6,Trong đó: Dịch vụ giáo dục,
2004,6,Trong đó: Dịch vụ y tế,
2004,6,"Văn hóa, giải trí và du lịch",99.60
2004,6,Ăn uống ngoài gia đình,
2004,6,Đồ uống và thuốc lá,100.00
2004,7,Bưu chính viễn thông,
2004,7,Chỉ số giá tiêu dùng,100.50
2004,7,Chỉ số giá vàng,100.50
2004,7,Chỉ số đô la Mỹ,99.90
2004,7,Giao thông,
2004,7,Giáo dục,100.40
2004,7,Hàng hoá và dịch vụ khác,100.90
2004,7,Hàng ăn và dịch vụ ăn uống,100.40
2004,7,Lương thực,99.70
2004,7,"May mặc, mũ nón, giày dép",100.20
2004,7,Nhà ở và vật liệu xây dựng,100.00
2004,7,"Phương tiện đi lại, bưu điện",103.10
