Mặt hàng,Tháng,Năm,Lượng,Trị Giá
Gỗ và sản phẩm gỗ,4,2017,,165624.31
Gỗ và sản phẩm gỗ,5,2017,,193571.68
Gỗ và sản phẩm gỗ,6,2017,,186584.07
Gỗ và sản phẩm gỗ,7,2017,,172952.4
Gỗ và sản phẩm gỗ,8,2017,,209754.61
Gỗ và sản phẩm gỗ,9,2017,,174812.69
Gỗ và sản phẩm gỗ,10,2017,,171386.42
Gỗ và sản phẩm gỗ,11,2017,,180697.01
Gỗ và sản phẩm gỗ,12,2017,,190000.0
Giấy các loại,1,2017,,108743.04
Giấy các loại,2,2017,,130879.14
Giấy các loại,3,2017,,157103.69
Giấy các loại,4,2017,,131869.75
Giấy các loại,5,2017,,150456.13
Giấy các loại,6,2017,,141549.7
Giấy các loại,7,2017,,136274.15
Giấy các loại,8,2017,,136407.28
Giấy các loại,9,2017,,137000.0
Giấy các loại,10,2017,,145000.0
Giấy các loại,11,2017,,160850.7
Giấy các loại,12,2017,,151588.11
Sản phẩm từ giấy,1,2017,,46253.26
Sản phẩm từ giấy,2,2017,,45180.69
Sản phẩm từ giấy,3,2017,,59409.84
Sản phẩm từ giấy,4,2017,,52708.45
Sản phẩm từ giấy,5,2017,,62314.65
Sản phẩm từ giấy,6,2017,,60874.64
Sản phẩm từ giấy,7,2017,,57320.06
Sản phẩm từ giấy,8,2017,,54736.06
Sản phẩm từ giấy,9,2017,,59699.37
Sản phẩm từ giấy,10,2017,,61547.37
Sản phẩm từ giấy,11,2017,,65513.24
Sản phẩm từ giấy,12,2017,,59090.66
Bông,1,2017,93.635,161981.51
Bông,2,2017,118.49,207947.46
Bông,3,2017,111.749,200812.11
Bông,4,2017,111.999,207418.44
Bông,5,2017,128.954,242218.64
Bông,6,2017,114.367,213479.45
Bông,7,2017,95.937,179213.99
Bông,8,2017,115.915,216827.96
Bông,9,2017,117.687,216950.02
Bông,10,2017,102.072,186077.05
Bông,11,2017,78.555,141725.27
Bông,12,2017,105.868,187755.8
Sợi dệt,1,2017,,114090.35
Sợi dệt,2,2017,,135691.46
Sợi dệt,3,2017,,169329.36
Sợi dệt,4,2017,,143516.05
Sợi dệt,5,2017,,168590.67
Sợi dệt,6,2017,,149368.1
Sợi dệt,7,2017,,140836.16
Sợi dệt,8,2017,,152952.24
Sợi dệt,9,2017,,149069.69
Sợi dệt,10,2017,,151977.29
Sợi dệt,11,2017,,167668.04
Sợi dệt,12,2017,,178465.36
Vải,1,2017,,659446.55
Vải,2,2017,,692548.26
Vải,3,2017,,995394.84
Vải,4,2017,,991128.95
Vải,5,2017,,1141356.81
Vải,6,2017,,1010030.2
Vải,7,2017,,969519.15
Vải,8,2017,,899994.71
Vải,9,2017,,910612.84
Vải,10,2017,,1037000.0
Vải,11,2017,,1090290.61
Vải,12,2017,,1025203.77
"Nguyên PL dệt, may, giày dép",1,2017,,320846.9
"Nguyên PL dệt, may, giày dép",2,2017,,401924.56
"Nguyên PL dệt, may, giày dép",3,2017,,522439.99
"Nguyên PL dệt, may, giày dép",4,2017,,482830.93
"Nguyên PL dệt, may, giày dép",5,2017,,478000.0
"Nguyên PL dệt, may, giày dép",6,2017,,474973.98
"Nguyên PL dệt, may, giày dép",7,2017,,475385.19
"Nguyên PL dệt, may, giày dép",8,2017,,431837.92
"Nguyên PL dệt, may, giày dép",9,2017,,450633.2
"Nguyên PL dệt, may, giày dép",10,2017,,471326.33
"Nguyên PL dệt, may, giày dép",11,2017,,454123.16
"Nguyên PL dệt, may, giày dép",12,2017,,416641.29
Thủy tinh và các sản phẩm từ thủy tinh,1,2017,,74333.45
Thủy tinh và các sản phẩm từ thủy tinh,2,2017,,61518.86
Thủy tinh và các sản phẩm từ thủy tinh,3,2017,,86277.08
Thủy tinh và các sản phẩm từ thủy tinh,4,2017,,80977.5
Thủy tinh và các sản phẩm từ thủy tinh,5,2017,,86358.37
Thủy tinh và các sản phẩm từ thủy tinh,6,2017,,81736.64
Thủy tinh và các sản phẩm từ thủy tinh,7,2017,,75078.87
Thủy tinh và các sản phẩm từ thủy tinh,8,2017,,89612.34
Thủy tinh và các sản phẩm từ thủy tinh,9,2017,,99553.32
Thủy tinh và các sản phẩm từ thủy tinh,10,2017,,89358.7
