Mặt hàng,Tháng,Năm,Lượng,Trị Giá
Bánh kẹo và các sản phẩm từ ngũ cốc,11,2025,120187.5079999999,
Bánh kẹo và các sản phẩm từ ngũ cốc,12,2025,127533.951,
Cao su,1,2017,93.223,179206.92
Cao su,2,2017,90.237,191900.78
Cao su,3,2017,65.718,137671.89
Cao su,4,2017,51.389,96792.19
Cao su,5,2017,60.239,100716.96
Cao su,6,2017,121.47,186600.32
Cao su,7,2017,150.608,224504.04
Cao su,8,2017,170.899,261724.06
Cao su,9,2017,147.373,236056.37
Cao su,10,2017,115.838,177856.37
Cao su,11,2017,145.429,213059.94
Cao su,12,2017,168.628,243685.45
Cao su,1,2018,135797.0,198633.9
Cao su,2,2018,49669.0,74190.63
Cao su,3,2018,75444.0,112907.21
Cao su,4,2018,70633.0,101256.56
Cao su,5,2018,110779.0,160147.37
Cao su,6,2018,122221.0,173419.14
Cao su,7,2018,142375.0,188126.94
Cao su,8,2018,170726.0,217438.56
Cao su,9,2018,152820.0,197027.77
Cao su,10,2018,181838.0,235680.27
Cao su,11,2018,179241.0,222912.9
Cao su,12,2018,172581.0,210279.0
Cao su,1,2019,157150.0,199780.58
Cao su,2,2019,79937.0,105665.1
Cao su,3,2019,103569.0,144555.44
Cao su,4,2019,74388.0,106879.02
Cao su,5,2019,76607.0,110497.86
Cao su,6,2019,122745.0,174452.54
Cao su,7,2019,167317.0,233665.17
Cao su,8,2019,180442.0,243329.68
Cao su,9,2019,149885.0,196238.29
Cao su,10,2019,191669.0,248856.85
Cao su,11,2019,198960.0,261834.25
Cao su,12,2019,198995.0,276157.22
Cao su,1,2020,90130.0,131407.66
Cao su,2,2020,77218.0,113050.95
Cao su,3,2020,60360.0,86793.86
Cao su,4,2020,42655.0,54309.01
Cao su,5,2020,75165.0,90456.36
Cao su,6,2020,136352.0,162400.2
Cao su,7,2020,202875.0,245261.29
Cao su,8,2020,223189.0,274740.48
Cao su,9,2020,205497.0,265024.89
Cao su,10,2020,194689.0,270187.22
Cao su,11,2020,215552.0,330038.44
Cao su,12,2020,226019.0,360402.68
Cao su,1,2021,305252.769,104892.0
Cao su,2,2021,173427.35600000003,111773.0
Cao su,3,2021,195986.98699999996,61731.0
Cao su,4,2021,109734.951,82747.0
Cao su,5,2021,143348.20000000007,163370.0
Cao su,6,2021,275678.2309999998,204472.0
Cao su,7,2021,338098.67799999996,188847.0
Cao su,8,2021,310115.99800000025,180553.0
Cao su,9,2021,298836.90200000035,204382.0
Cao su,10,2021,339022.52800000005,212231.0
Cao su,11,2021,359268.8759999998,250166.0
Cao su,12,2021,428889.52700000047,1954970.0
Cao su,1,2022,331119.567,101634.0
Cao su,2,2022,181699.298,112445.0
Cao su,3,2022,202578.2489999999,78418.0
Cao su,4,2022,141588.375,114210.0
Cao su,5,2022,194994.59700000013,187836.0
Cao su,6,2022,310101.87500000006,196501.0
Cao su,7,2022,318993.04600000015,219208.0
Cao su,8,2022,332340.2970000001,193452.0
Cao su,9,2022,279453.46,223711.0
Cao su,10,2022,313700.7530000001,252748.0
Cao su,11,2022,343137.5270000003,271981.0
Cao su,12,2022,366233.38399999967,2144868.0
Cao su,1,2023,182582.277,131252.0
Cao su,2,2023,185221.40999999997,115641.0
Cao su,3,2023,163500.92699999997,87844.0
Cao su,4,2023,121921.06600000012,116734.0
Cao su,5,2023,157749.82899999985,179008.0
Cao su,6,2023,237520.12900000013,221121.0
Cao su,7,2023,288510.9039999998,222543.0
Cao su,8,2023,287222.90600000013,193260.0
Cao su,9,2023,251734.90099999975,218387.0
Cao su,10,2023,293901.5330000002,253375.0
Cao su,11,2023,348523.605,268798.0
Cao su,12,2023,374036.02799999993,2142858.0
Cao su,1,2024,296714.201,87917.0
Cao su,2,2024,130208.196,116073.0
Cao su,3,2024,180428.64399999997,73501.0
Cao su,4,2024,117406.42500000005,84466.0
Cao su,5,2024,134650.54200000002,154368.0
Cao su,6,2024,248410.252,186073.0
Cao su,7,2024,308015.22900000005,209505.0
Cao su,8,2024,344622.4559999998,193957.0
Cao su,9,2024,335560.617,225098.0
Cao su,10,2024,429168.2549999999,230896.0
Cao su,11,2024,441600.338,237997.0
Cao su,12,2024,452717.29,2010178.0
Cao su,1,2025,298649.243,114613.0
Cao su,2,2025,224010.26899999997,105393.0
Cao su,3,2025,210670.12800000003,72129.0
Cao su,4,2025,140042.054,97171.0
Cao su,5,2025,174574.216,143678.0
Cao su,6,2025,239593.31799999985,206195.0
Cao su,7,2025,334678.056,216589.0
Cao su,8,2025,359254.11900000006,175560.0
