Year,Category,Month,Index_Value,Quarter,Hierarchy_Level,Economic_Period,Is_Tet_Month,Inflation_Status,Season,Category_Group
2020,Nhà ở và vật liệu xây dựng,1,101.47,1,Main Category,COVID-19,True,High Inflation,Winter/Tet,General/Housing
2020,Thiết bị và đồ dùng gia đình,1,100.27,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2020,Thuốc và dịch vụ y tế,1,100.17,1,Main Category,COVID-19,True,Stable,Winter/Tet,Healthcare
2020,Giao thông,1,100.69,1,Main Category,COVID-19,True,Stable,Winter/Tet,Transport
2020,Bưu chính viễn thông,1,99.97,1,Main Category,COVID-19,True,Deflation,Winter/Tet,General/Housing
2020,Giáo dục,1,100.02,1,Main Category,COVID-19,True,Stable,Winter/Tet,Education
2020,"Văn hóa, giải trí và du lịch",1,100.25,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2020,Hàng hoá và dịch vụ khác,1,100.92,1,Main Category,COVID-19,True,Stable,Winter/Tet,General/Housing
2020,Chỉ số giá vàng,1,104.37,1,Main Category,COVID-19,True,High Inflation,Winter/Tet,Financial/Other
2020,Chỉ số đô la Mỹ,1,100.02,1,Main Category,COVID-19,True,Stable,Winter/Tet,Financial/Other
2019,Chỉ số giá tiêu dùng,1,100.1,1,Total CPI,Economic Growth,True,Stable,Winter/Tet,General/Housing
2019,Hàng ăn và dịch vụ ăn uống,1,100.66,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2019,Lương thực,1,100.52,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2019,Thực phẩm,1,100.85,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2019,Đồ uống và thuốc lá,1,100.69,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2019,"May mặc, mũ nón, giày dép",1,100.39,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2019,Nhà ở và vật liệu xây dựng,1,100.35,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2019,Thiết bị và đồ dùng gia đình,1,100.16,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2019,Thuốc và dịch vụ y tế,1,100.01,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Healthcare
2019,Giao thông,1,96.96,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Transport
2019,Bưu chính viễn thông,1,99.91,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,General/Housing
2019,Giáo dục,1,100.15,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Education
2019,"Văn hóa, giải trí và du lịch",1,100.33,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2019,Hàng hoá và dịch vụ khác,1,100.34,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2019,Chỉ số giá vàng,1,102.25,1,Main Category,Economic Growth,True,High Inflation,Winter/Tet,Financial/Other
2019,Chỉ số đô la Mỹ,1,99.6,1,Main Category,Economic Growth,True,Deflation,Winter/Tet,Financial/Other
2018,Chỉ số giá tiêu dùng,1,100.51,1,Total CPI,Economic Growth,True,Stable,Winter/Tet,General/Housing
2018,Hàng ăn và dịch vụ ăn uống,1,100.44,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2018,Lương thực,1,100.47,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2018,Thực phẩm,1,100.56,1,Sub-category,Economic Growth,True,Stable,Winter/Tet,Food & Beverage
2018,Đồ uống và thuốc lá,1,100.35,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2018,"May mặc, mũ nón, giày dép",1,100.34,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
2018,Nhà ở và vật liệu xây dựng,1,100.55,1,Main Category,Economic Growth,True,Stable,Winter/Tet,General/Housing
