Năm,Tháng,Ngày,[gold] Giá mở phiên,[gold] Giá cao nhất trong phiên,[gold] Giá thấp nhất trong phiên,[gold] Giá kết phiên,[gold] Volume,[VNI] Giá mở phiên trước,[VNI] Giá mở phiên,[VNI] Giá cao nhất trong phiên,[VNI] Giá thấp nhất trong phiên,[VNI] Volume,[VNI] % Thay đổi,[USD] Giá mở phiên trước,[USD] Giá mở phiên,[USD] Giá cao nhất trong phiên,[USD] Giá thấp nhất trong phiên,[USD] Volume,[USD] % Thay đổi,"Dầu DO 0,001S-V","Dầu DO 0,005S-IV","Dầu DO 0,05S-II",Dầu FO 3%S,"Dầu FO 3,5%S",Dầu KO,Xăng E10 RON 95-III,Xăng E5 RON 92-II,Xăng RON 95-III,Xăng RON 95-IV
2025,10,17,4331.84,4379.04,4185.07,4251.55,1335785.0,"1,731.19","1,766.85","1,777.35","1,725.12",1.22B,-2.02%,"26,342.0","26,335.0","26,349.5","26,331.5",,0.03%,,,,,,,,,,
2025,10,16,4208.33,4330.32,4199.58,4327.92,680389.0,"1,766.85","1,757.95","1,768.45","1,753.50",1.09B,0.51%,"26,335.0","26,340.5","26,356.0","26,322.5",,-0.02%,18940.0,,18420.0,,,18400.0,19680.0,19220.0,19900.0,
2025,10,15,4178.85,4218.12,4163.62,4207.45,513511.0,"1,757.95","1,761.06","1,778.49","1,747.51",1.11B,-0.18%,"26,340.0","26,355.0","26,359.5","26,322.5",,-0.06%,,,,,,,,,,
2025,10,14,,,,,,"1,761.06","1,765.12","1,794.58","1,753.25",1.49B,-0.23%,"26,355.5","26,347.5","26,364.0","26,305.0",,0.04%,,,,,,,,,,
2025,10,13,,,,,,"1,765.12","1,747.55","1,766.77","1,704.63",1.23B,1.01%,"26,345.0","26,334.5","26,357.5","26,320.0",,0.02%,,,,,,,,,,
2025,10,10,,,,,,"1,747.55","1,716.47","1,747.57","1,716.47",998.29M,1.81%,"26,340.0","26,345.0","26,402.5","26,325.0",,-0.03%,,,,,,,,,,
2025,10,09,,,,,,"1,716.47","1,697.83","1,717.65","1,697.83",1.04B,1.10%,"26,347.5","26,362.0","26,428.5","26,336.0",,-0.05%,19130.0,,18600.0,,,18430.0,19500.0,19130.0,19720.0,
2025,10,08,,,,,,"1,697.83","1,685.30","1,735.29","1,680.87",1.02B,0.74%,"26,360.0","26,357.5","26,373.5","26,342.0",,-0.02%,,,,,,,,,,
2025,10,07,,,,,,"1,685.30","1,695.50","1,713.15","1,675.40",799.01M,-0.60%,"26,365.0","26,357.5","26,385.0","26,347.5",,0.00%,,,,,,,,,,
2025,10,06,,,,,,"1,695.50","1,645.82","1,695.50","1,643.23",1.01B,3.02%,"26,365.0","26,372.5","26,406.5","26,349.0",,-0.06%,,,,,,,,,,
2025,10,03,,,,,,"1,645.82","1,652.71","1,656.58","1,637.95",814.58M,-0.42%,"26,381.0","26,377.5","26,399.0","26,363.5",,-0.05%,,,,,,,,,,
2025,10,02,,,,,,"1,652.71","1,665.05","1,679.73","1,646.77",735.86M,-0.74%,"26,395.5","26,412.5","26,425.0","26,369.0",,-0.05%,19560.0,,19030.0,,,19000.0,19920.0,19620.0,20200.0,
2025,10,01,,,,,,"1,665.05","1,661.70","1,671.07","1,655.85",666.00M,0.20%,"26,410.0","26,427.5","26,429.0","26,351.0",,-0.06%,,,,,,,,,,
2025,09,30,,,,,,"1,661.70","1,666.48","1,676.80","1,645.97",1.05B,-0.29%,"26,427.0","26,425.0","26,432.0","26,404.5",,0.02%,,,,,,,,,,
2025,09,29,,,,,,"1,666.48","1,660.70","1,674.84","1,639.20",808.66M,0.35%,"26,421.0","26,410.0","26,433.5","26,395.0",,0.04%,,,,,,,,,,
2025,09,26,,,,,,"1,660.70","1,666.09","1,671.43","1,652.65",899.32M,-0.32%,"26,410.0","26,397.5","26,422.5","26,383.0",,0.02%,,,,,,,,,,
2025,09,25,,,,,,"1,666.09","1,657.46","1,668.21","1,654.47",914.94M,0.52%,"26,405.0","26,418.0","26,428.0","26,391.5",,-0.05%,19180.0,,18650.0,,,18620.0,19830.0,19610.0,20160.0,
2025,09,24,,,,,,"1,657.46","1,635.26","1,657.48","1,619.09",942.29M,1.36%,"26,419.0","26,415.0","26,432.0","26,365.0",,0.00%,,,,,,,,,,
2025,09,23,,,,,,"1,635.26","1,634.45","1,643.59","1,624.08",657.14M,0.05%,"26,420.0","26,414.0","26,436.0","26,370.0",,0.01%,,,,,,,,,,
2025,09,22,,,,,,"1,634.45","1,658.62","1,666.43","1,616.02",1.14B,-1.46%,"26,417.5","26,385.5","26,428.0","26,360.0",,0.13%,,,,,,,,,,
